ICAO	STATION	REGION	COUNTRY	ELEVATION	LATITUDE	LONGITUDE	TIMESTAMP	TEMPERATURE	DEWPOINT	HUMIDITY	VISIBILITY_QUAL	VISIBILITY	WIND_DIR	WIND_DEG	WIND_SPEED	GUST_SPEED
DAUB	Biskra		Algeria	87.0	34.8	5.733	Tue Apr 06 08:00:00 PDT 2004	25.0	5.0	27	BEYOND	10000.0	SSE	150	1.5433333333333334	1.5433333333333334
DAOF	Tindouf		Algeria	431.0	27.667	-8.133	Tue Apr 06 06:00:00 PDT 2004	30.0	1.0	15	BEYOND	10000.0	SSE	150	3.086666666666667	3.086666666666667
DAAS	Setif		Algeria	1038.0	36.183	5.417	Tue Apr 06 08:00:00 PDT 2004	20.0	7.0	42	BEYOND	10000.0	WSW	240	5.144444444444445	5.144444444444445
DAON	Tlemcen Zenata		Algeria	247.0	35.017	-1.467	Tue Apr 06 08:00:00 PDT 2004	24.0	10.0	40	BEYOND	10000.0	NNW	340	3.086666666666667	3.086666666666667
DAAE	Bejaia		Algeria	2.0	36.717	5.067	Tue Apr 06 08:00:00 PDT 2004	18.0	14.0	77	BEYOND	10000.0	ESE	120	4.115555555555556	4.115555555555556
DABB	Annaba		Algeria	4.0	36.833	7.817	Tue Apr 06 08:00:00 PDT 2004	18.0	12.0	68	BEYOND	10000.0	NE	40	7.202222222222223	7.202222222222223
DAAJ	Djanet		Algeria	1054.0	24.55	9.467	Tue Apr 06 08:00:00 PDT 2004	27.0	1.0	18	BEYOND	10000.0	W	270	2.5722222222222224	2.5722222222222224
DABT	Batna		Algeria	1052.0	35.55	6.183	Tue Apr 06 08:00:00 PDT 2004	22.0	1.0	24	BEYOND	10000.0	WSW	250	3.086666666666667	3.086666666666667
DAAG	Dar-El-Beida		Algeria	25.0	36.717	3.25	Tue Apr 06 08:00:00 PDT 2004	21.0	10.0	49	BEYOND	10000.0	NNW	340	2.057777777777778	2.057777777777778
FNLU	Luanda		Angola	74.0	-8.85	13.233	Mon Apr 05 15:00:00 PDT 2004	22.0	20.0	88	BEYOND	10000.0	N	359	1.5433333333333334	1.5433333333333334
TAPA	Vc Bird International Airport Antigua		Antigua and Barbuda	8.0	17.117	-61.783	Tue Apr 06 08:00:00 PDT 2004	28.0	22.0	69	BEYOND	10000.0	ESE	120	6.687777777777779	6.687777777777779
SAZY	Chapelco		Argentina	779.0	-40.083	-71.133	Tue Apr 06 08:00:00 PDT 2004	11.0	5.0	66	BEYOND	10000.0	WSW	250	9.260000000000002	9.260000000000002
SAAP	Parana Aerodrome		Argentina	74.0	-31.783	-60.483	Tue Apr 06 08:00:00 PDT 2004	20.0	19.0	94	BEYOND	10000.0	ESE	110	5.144444444444445	5.144444444444445
SADP	El Palomar Aerodrome		Argentina	18.0	-34.6	-58.6	Tue Apr 06 07:00:00 PDT 2004	20.0	20.0	100	BEYOND	10000.0	ENE	70	1.5433333333333334	1.5433333333333334
SAVT	Trelew Aerodrome		Argentina	39.0	-43.2	-65.267	Tue Apr 06 08:00:00 PDT 2004	21.0	2.0	28	BEYOND	10000.0	WSW	250	10.28888888888889	10.28888888888889
SAME	Mendoza Aerodrome		Argentina	705.0	-32.833	-68.783	Tue Apr 06 08:00:00 PDT 2004	25.0	9.0	36	BEYOND	10000.0	S	180	5.144444444444445	5.144444444444445
SANU	San Juan Aerodrome		Argentina	597.0	-31.567	-68.867	Tue Apr 06 08:00:00 PDT 2004	25.0	13.0	47	BEYOND	10000.0	SSE	160	7.202222222222223	7.202222222222223
SAMM	Malargue Aerodrome		Argentina	1426.0	-35.5	-69.583	Mon Apr 05 05:00:00 PDT 2004	13.0	11.0	87	AT	2000.0	SW	230	3.086666666666667	3.086666666666667
SANT	Tucuman Aerodrome		Argentina	440.0	-26.85	-65.1	Tue Apr 06 08:00:00 PDT 2004	30.0	23.0	65	BEYOND	10000.0	N	0	1.5433333333333334	1.5433333333333334
SABE	Aeroparque Bs. As. Aerodrome		Argentina	6.0	-34.567	-58.417	Tue Apr 06 08:00:00 PDT 2004	23.0	19.0	78	BEYOND	10000.0	NE	50	5.658888888888889	5.658888888888889
SARC	Corrientes Aero.		Argentina	62.0	-27.45	-58.767	Tue Apr 06 08:00:00 PDT 2004	33.0	23.0	55	BEYOND	10000.0	NNE	20	7.202222222222223	7.202222222222223
SAAC	Concordia Aerodrome		Argentina	35.0	-31.3	-58.017	Tue Apr 06 08:00:00 PDT 2004	30.0	20.0	54	BEYOND	10000.0	S	180	19.034444444444446	19.034444444444446
SAWE	Rio Grande B. A.		Argentina	13.0	-53.8	-67.75	Tue Apr 06 08:00:00 PDT 2004	8.0	6.0	87	BEYOND	10000.0	WNW	290	6.687777777777779	6.687777777777779
SANE	Santiago Del Estero Aero.		Argentina	198.0	-27.767	-64.3	Tue Apr 06 08:00:00 PDT 2004	32.0	23.0	58	BEYOND	10000.0	N	0	2.057777777777778	2.057777777777778
SAVV	Viedma Aerodrome		Argentina	6.0	-40.85	-63.017	Tue Apr 06 08:00:00 PDT 2004	22.0	10.0	46	BEYOND	10000.0	NW	320	5.144444444444445	5.144444444444445
SAZS	Bariloche Aerodrome		Argentina	845.0	-41.15	-71.167	Tue Apr 06 08:00:00 PDT 2004	9.0	2.0	61	AT	8000.0	W	270	13.375555555555557	20.57777777777778
SAWG	Rio Gallegos Aerodrome		Argentina	20.0	-51.617	-69.283	Tue Apr 06 08:00:00 PDT 2004	14.0	0.0	38	BEYOND	10000.0	WNW	290	7.716666666666667	7.716666666666667
SAZN	Neuquen Aerodrome		Argentina	270.0	-38.95	-68.133	Tue Apr 06 08:00:00 PDT 2004	21.0	5.0	35	BEYOND	10000.0	W	270	6.687777777777779	6.687777777777779
SANC	Catamarca Aero.		Argentina	454.0	-28.6	-65.767	Tue Apr 06 08:00:00 PDT 2004	32.0	20.0	48	BEYOND	10000.0	SW	230	4.115555555555556	4.115555555555556
SAEZ	Ezeiza Aerodrome		Argentina	20.0	-34.817	-58.533	Tue Apr 06 08:00:00 PDT 2004	23.0	19.0	78	BEYOND	10000.0	NNE	20	5.144444444444445	5.144444444444445
SAWH	Ushuaia Aerodrome		Argentina	16.0	-54.8	-68.317	Tue Apr 06 08:00:00 PDT 2004	11.0	6.0	71	BEYOND	10000.0	NNE	20	1.028888888888889	1.028888888888889
SAVC	Comodoro Rivadavia Aerodrome		Argentina	58.0	-45.783	-67.5	Tue Apr 06 08:00:00 PDT 2004	16.0	-4.0	25	BEYOND	10000.0	WNW	290	14.404444444444445	23.664444444444445
SAMR	San Rafael Aerodrome		Argentina	745.0	-34.583	-68.4	Tue Apr 06 08:00:00 PDT 2004	24.0	9.0	38	BEYOND	10000.0	S	180	2.5722222222222224	2.5722222222222224
SARF	Formosa Aerodrome		Argentina	59.0	-26.2	-58.233	Tue Apr 06 08:00:00 PDT 2004	32.0	24.0	62	BEYOND	10000.0	NNE	20	4.115555555555556	4.115555555555556
SANL	La Rioja Aero.		Argentina	438.0	-29.383	-66.817	Tue Apr 06 08:00:00 PDT 2004	30.0	24.0	70	BEYOND	10000.0	N	0	0.0	0.0
SACO	Cordoba Aerodrome		Argentina	484.0	-31.317	-64.217	Tue Apr 06 08:00:00 PDT 2004	20.0	18.0	88	AT	6000.0	SSW	200	5.144444444444445	5.144444444444445
SASJ	Jujuy Aerodrome		Argentina	921.0	-24.383	-65.083	Tue Apr 06 08:00:00 PDT 2004	28.0	21.0	65	BEYOND	10000.0	E	90	2.5722222222222224	2.5722222222222224
SAOR	Villa Reynolds Aerodrome		Argentina	485.0	-33.733	-65.383	Tue Apr 06 08:00:00 PDT 2004	25.0	19.0	69	BEYOND	10000.0	E	90	5.144444444444445	5.144444444444445
SAAR	Rosario Aerodrome		Argentina	25.0	-32.917	-60.783	Tue Apr 06 08:00:00 PDT 2004	21.0	19.0	88	BEYOND	10000.0	NE	50	4.115555555555556	4.115555555555556
SAOU	San Luis Aerodrome		Argentina	710.0	-33.267	-66.35	Tue Apr 06 08:00:00 PDT 2004	26.0	18.0	61	BEYOND	10000.0	WSW	250	2.057777777777778	2.057777777777778
SARI	Iguazu Aerodrome		Argentina	270.0	-25.733	-54.467	Tue Apr 06 08:00:00 PDT 2004	30.0	23.0	65	BEYOND	10000.0	N	0	0.0	0.0
SAVE	Esquel Aerodrome		Argentina	789.0	-42.933	-71.15	Tue Apr 06 08:00:00 PDT 2004	6.0	4.0	87	BEYOND	10000.0	W	270	5.144444444444445	5.144444444444445
SAAJ	Junin Aerodrome		Argentina	82.0	-34.55	-60.917	Tue Apr 06 08:00:00 PDT 2004	21.0	19.0	88	BEYOND	10000.0	N	0	4.630000000000001	4.630000000000001
SAZR	Santa Rosa Aerodrome		Argentina	190.0	-36.567	-64.267	Tue Apr 06 08:00:00 PDT 2004	22.0	16.0	68	BEYOND	10000.0	E	99	1.028888888888889	1.028888888888889
SADD	Don Torcuato Aerodrome		Argentina	5.0	-34.483	-58.617	Tue Apr 06 07:00:00 PDT 2004	21.0	20.0	94	BEYOND	10000.0	N	0	1.5433333333333334	1.5433333333333334
SAZB	Bahia Blanca Aerodrome		Argentina	75.0	-38.733	-62.167	Tue Apr 06 08:00:00 PDT 2004	23.0	17.0	68	BEYOND	10000.0	N	0	0.0	0.0
SAOC	Rio Cuarto Aerodrome		Argentina	420.0	-33.117	-64.233	Tue Apr 06 08:00:00 PDT 2004	20.0	17.0	83	BEYOND	10000.0	N	0	3.086666666666667	3.086666666666667
SARL	Paso De Los Libres Aerodrome		Argentina	69.0	-29.683	-57.15	Tue Apr 06 08:00:00 PDT 2004	32.0	22.0	55	BEYOND	10000.0	NE	50	5.144444444444445	5.144444444444445
SAZM	Mar Del Plata Aerodrome		Argentina	18.0	-37.933	-57.583	Tue Apr 06 08:00:00 PDT 2004	22.0	18.0	78	BEYOND	10000.0	WSW	250	1.028888888888889	1.028888888888889
SAAV	Sauce Viejo Aerodrome		Argentina	17.0	-31.7	-60.817	Tue Apr 06 08:00:00 PDT 2004	21.0	19.0	88	BEYOND	10000.0	SSE	160	8.231111111111112	8.231111111111112
SASA	Salta Aerodrome		Argentina	1238.0	-24.85	-65.483	Tue Apr 06 08:00:00 PDT 2004	26.0	19.0	65	BEYOND	10000.0	NE	50	1.5433333333333334	1.5433333333333334
SARE	Resistencia Aero.		Argentina	53.0	-27.45	-59.05	Tue Apr 06 08:00:00 PDT 2004	34.0	23.0	52	BEYOND	10000.0	N	0	5.658888888888889	5.658888888888889
SARP	Posadas Aero.		Argentina	131.0	-27.367	-55.967	Tue Apr 06 08:00:00 PDT 2004	32.0	21.0	51	BEYOND	10000.0	N	0	4.630000000000001	4.630000000000001
SAST	Tartagal Aerodrome		Argentina	450.0	-22.65	-63.817	Tue Apr 06 03:00:00 PDT 2004	23.0	21.0	88	BEYOND	10000.0	N	0	0.0	0.0
TNCA	Queen Beatrix Airport		Aruba	18.0	12.5	-70.017	Tue Apr 06 07:00:00 PDT 2004	30.0	23.0	65	BEYOND	10000.0	E	90	10.28888888888889	10.28888888888889
YSCB	Canberra		Australia	575.0	-35.3	149.183	Tue Apr 06 08:00:00 PDT 2004	11.0	8.0	82	 	0	WSW	250	2.057777777777778	2.057777777777778
YBMA	Mount Isa Amo		Australia	342.0	-20.667	139.467	Tue Apr 06 08:00:00 PDT 2004	27.0	12.0	39	 	0	ESE	110	2.5722222222222224	2.5722222222222224
YSTW	Tamworth Airport		Australia	410.0	-31.083	150.833	Tue Apr 06 08:00:00 PDT 2004	17.0	13.0	77	 	0	S	170	4.115555555555556	4.115555555555556
YPPD	Port Hedland Pardoo		Australia	9.0	-20.1	119.567	Tue Apr 06 08:00:00 PDT 2004	28.0	21.0	65	 	0	SSE	160	3.6011111111111114	3.6011111111111114
YBTL	Townsville Amo		Australia	6.0	-19.25	146.75	Tue Apr 06 08:00:00 PDT 2004	25.0	18.0	64	 	0	SE	130	5.658888888888889	5.658888888888889
YPPH	Belmont Perth Airport		Australia	20.0	-31.933	115.95	Tue Apr 06 08:00:00 PDT 2004	22.0	5.0	32	BEYOND	10000.0	E	100	7.716666666666667	7.716666666666667
YSRI	Richmond Aus-Afb		Australia	21.0	-33.6	150.783	Tue Apr 06 08:00:00 PDT 2004	18.0	17.0	94	 	0	N	0	0.0	0.0
YPTN	Tindal / Katherine		Australia	108.0	-14.433	132.267	Tue Apr 06 08:00:00 PDT 2004	25.0	24.0	94	 	0	N	0	0.0	0.0
YBAS	Alice Springs Aerodrome		Australia	545.0	-23.8	133.883	Tue Apr 06 08:00:00 PDT 2004	19.0	6.0	42	 	0	SSE	160	3.086666666666667	3.086666666666667
YSWG	Wagga Airport		Australia	221.0	-35.15	147.45	Tue Apr 06 08:00:00 PDT 2004	14.0	13.0	94	 	0	N	0	0.0	0.0
YSNF	Norfolk Island Airport		Australia	113.0	-29.033	167.933	Tue Apr 06 08:00:00 PDT 2004	18.0	8.0	51	 	0	S	170	4.115555555555556	4.115555555555556
YBBN	Brisbane Airport M. O		Australia	4.0	-27.383	153.1	Tue Apr 06 08:00:00 PDT 2004	20.0	19.0	94	BEYOND	10000.0	SSW	200	3.086666666666667	3.086666666666667
YPDN	Darwin Airport		Australia	31.0	-12.4	130.867	Tue Apr 06 08:00:00 PDT 2004	27.0	25.0	89	BEYOND	10000.0	N	0	0.0	0.0
YMAV	Avalon, Avalon Airport		Australia	8.0	-38.033	144.483	Tue Apr 06 08:00:00 PDT 2004	11.0	8.0	82	 	0	WNW	300	3.086666666666667	3.086666666666667
YPLM	Learmonth Airport		Australia	5.0	-22.233	114.083	Tue Apr 06 08:00:00 PDT 2004	29.0	18.0	51	 	0	SW	220	3.6011111111111114	3.6011111111111114
YMML	Melbourne Airport		Australia	132.0	-37.667	144.833	Tue Apr 06 08:00:00 PDT 2004	11.0	9.0	87	AT	8000.0	W	260	2.057777777777778	2.057777777777778
YBCG	Coolangatta Airport Aws		Australia	6.0	-28.167	153.5	Tue Apr 06 08:00:00 PDT 2004	19.0	18.0	94	 	0	S	180	2.057777777777778	2.057777777777778
YBRK	Rockhampton Airport		Australia	10.0	-23.383	150.467	Tue Apr 06 08:00:00 PDT 2004	20.0	18.0	88	 	0	SE	130	3.6011111111111114	3.6011111111111114
YBRM	Broome Airport		Australia	17.0	-17.95	122.217	Tue Apr 06 08:00:00 PDT 2004	27.0	24.0	83	BEYOND	10000.0	N	0	0.0	0.0
YPAD	Adelaide Airport		Australia	6.0	-34.933	138.517	Tue Apr 06 08:00:00 PDT 2004	16.0	9.0	63	BEYOND	10000.0	ESE	120	6.173333333333334	6.173333333333334
YBCS	Cairns Airport		Australia	3.0	-16.883	145.75	Tue Apr 06 08:00:00 PDT 2004	24.0	21.0	83	BEYOND	10000.0	SE	140	6.173333333333334	6.173333333333334
YMHB	Hobart Airport		Australia	4.0	-42.833	147.483	Tue Apr 06 08:00:00 PDT 2004	11.0	0.0	46	BEYOND	10000.0	SW	230	6.687777777777779	6.687777777777779
YPEA	Bullsbrook Pearce Amo		Australia	45.0	-31.667	116.017	Tue Apr 06 08:00:00 PDT 2004	22.0	6.0	35	 	0	E	90	6.687777777777779	6.687777777777779
YSSY	Sydney Airport		Australia	6.0	-33.95	151.183	Tue Apr 06 08:00:00 PDT 2004	19.0	18.0	94	BEYOND	10000.0	W	270	2.057777777777778	2.057777777777778
YSDU	Dubbo		Australia	275.0	-32.2	148.567	Tue Apr 06 08:00:00 PDT 2004	20.0	14.0	68	 	0	SE	140	3.6011111111111114	3.6011111111111114
LOWK	Klagenfurt-Flughafen		Austria	448.0	46.65	14.333	Tue Apr 06 07:50:00 PDT 2004	7.0	4.0	81	BEYOND	10000.0	ESE	110	2.057777777777778	2.057777777777778
LOWS	Salzburg-Flughafen		Austria	430.0	47.8	13.0	Tue Apr 06 07:50:00 PDT 2004	6.0	3.0	81	BEYOND	10000.0	NNW	330	4.115555555555556	4.115555555555556
LOXA	Aigen Im Ennstal		Austria	638.0	47.533	14.133	Tue Apr 06 07:50:00 PDT 2004	6.0	4.0	87	BEYOND	10000.0	N	359	1.028888888888889	1.028888888888889
LOXT	Tulln		Austria	175.0	48.317	16.117	Tue Apr 06 07:50:00 PDT 2004	11.0	5.0	66	BEYOND	10000.0	WSW	240	6.687777777777779	6.687777777777779
LOWG	Graz-Thalerhof-Flughafen		Austria	340.0	47.0	15.433	Tue Apr 06 07:50:00 PDT 2004	7.0	5.0	87	BEYOND	10000.0	SE	140	2.5722222222222224	2.5722222222222224
LOWZ	Zell Am See		Austria	754.0	47.292	12.788	Tue Apr 06 08:00:00 PDT 2004	5.0	3.0	87	AT	10000.0	W	270	3.086666666666667	3.086666666666667
LOWW	Wien / Schwechat-Flughafen		Austria	183.0	48.117	16.567	Tue Apr 06 07:50:00 PDT 2004	11.0	5.0	66	BEYOND	10000.0	SSW	200	7.202222222222223	7.202222222222223
LOWL	Linz / Hoersching-Flughafen		Austria	298.0	48.233	14.183	Tue Apr 06 07:50:00 PDT 2004	7.0	6.0	93	AT	5000.0	W	280	9.774444444444445	19.034444444444446
LOXZ	Zeltweg		Austria	677.0	47.2	14.75	Tue Apr 06 07:50:00 PDT 2004	5.0	2.0	81	BEYOND	10000.0	N	0	0.0	0.0
LOWI	Innsbruck-Flughafen		Austria	581.0	47.267	11.35	Tue Apr 06 07:50:00 PDT 2004	10.0	6.0	76	BEYOND	10000.0	N	359	1.5433333333333334	1.5433333333333334
UBBB	Baku / Bine Airport		Azerbaijan	-6.0	40.45	50.067	Tue Apr 06 08:00:00 PDT 2004	9.0	5.0	76	BEYOND	10000.0	S	190	9.260000000000002	9.260000000000002
MYNN	Nassau Airport		Bahamas	3.0	25.05	-77.467	Tue Apr 06 08:00:00 PDT 2004	24.0	13.0	49	BEYOND	10000.0	E	80	4.630000000000001	4.630000000000001
MYGF	Freeport, Grand Bahama		Bahamas	2.0	26.55	-78.7	Tue Apr 06 08:00:00 PDT 2004	24.0	14.0	53	BEYOND	10000.0	NE	40	6.173333333333334	6.173333333333334
MYEG	Georgetown, Exuma		Bahamas	2.0	23.475	-75.767	Tue Apr 06 08:10:00 PDT 2004	27.0	15.0	47	BEYOND	10000.0	E	80	2.5722222222222224	2.5722222222222224
OBBI	Bahrain International Airport		Bahrain	2.0	26.267	50.65	Tue Apr 06 08:00:00 PDT 2004	22.0	12.0	52	BEYOND	10000.0	N	350	5.658888888888889	5.658888888888889
TBPB	Grantley Adams		Barbados	50.0	13.067	-59.483	Tue Apr 06 08:00:00 PDT 2004	30.0	24.0	70	BEYOND	10000.0	E	100	7.716666666666667	7.716666666666667
EVRA	Riga Airport		Belarus	10.0	56.917	23.967	Tue Apr 06 07:50:00 PDT 2004	5.0	2.0	81	BEYOND	10000.0	N	10	2.057777777777778	2.057777777777778
UMII	Vitebsk		Belarus	176.0	55.167	30.217	Tue Apr 06 08:00:00 PDT 2004	14.0	-2.0	33	 	0	N	359	2.0	2.0
UMBB	Brest		Belarus	143.0	52.108	23.897	Tue Apr 06 08:00:00 PDT 2004	12.0	3.0	54	BEYOND	10000.0	NW	310	4.0	4.0
UMGG	Gomel'		Belarus	144.0	52.527	31.018	Tue Apr 06 08:00:00 PDT 2004	15.0	2.0	41	BEYOND	10000.0	ESE	120	4.0	4.0
UMMS	Minsk		Belarus	234.0	53.933	27.633	Tue Apr 06 08:00:00 PDT 2004	12.0	7.0	71	AT	8000.0	NNE	30	1.0	1.0
UMMM	Loshitsa / Minsk International 1		Belarus	228.0	53.865	27.542	Tue Apr 06 08:00:00 PDT 2004	11.0	6.0	71	BEYOND	10000.0	NE	50	2.0	2.0
EBFS	Florennes		Belgium	279.0	50.233	4.65	Tue Apr 06 07:08:00 PDT 2004	5.0	2.0	81	BEYOND	10000.0	WNW	290	5.658888888888889	5.658888888888889
EBCV	Chievres		Belgium	60.0	50.567	3.833	Tue Apr 06 03:32:00 PDT 2004	5.0	3.0	87	AT	7000.0	W	280	6.687777777777779	6.687777777777779
EBAW	Antwerpen / Deurne		Belgium	12.0	51.2	4.467	Tue Apr 06 06:50:00 PDT 2004	9.0	4.0	71	BEYOND	10000.0	W	280	5.658888888888889	5.658888888888889
EBBL	Kleine Brogel		Belgium	55.0	51.167	5.467	Tue Apr 06 05:53:00 PDT 2004	11.0	4.0	62	BEYOND	10000.0	W	270	5.658888888888889	5.658888888888889
EBLB	Elsenborn		Belgium	564.0	50.467	6.183	Tue Apr 06 07:46:00 PDT 2004	4.0	2.0	87	AT	4500.0	WSW	250	4.115555555555556	4.115555555555556
EBBE	Beauvechain		Belgium	105.0	50.75	4.767	Tue Apr 06 08:10:00 PDT 2004	9.0	1.0	57	BEYOND	10000.0	NW	310	4.115555555555556	4.115555555555556
EBCI	Charleroi / Gosselies		Belgium	187.0	50.467	4.45	Tue Apr 06 06:50:00 PDT 2004	6.0	3.0	81	BEYOND	10000.0	WSW	240	4.630000000000001	4.630000000000001
EBBT	Brasschaat		Belgium	22.0	51.333	4.5	Tue Apr 06 08:17:00 PDT 2004	8.0	4.0	76	BEYOND	10000.0	W	260	2.057777777777778	2.057777777777778
EBFN	Koksijde		Belgium	4.0	51.083	2.65	Tue Apr 06 05:23:00 PDT 2004	8.0	5.0	81	BEYOND	10000.0	W	280	7.716666666666667	7.716666666666667
EBLG	Bierset		Belgium	186.0	50.65	5.45	Tue Apr 06 06:50:00 PDT 2004	7.0	5.0	87	BEYOND	10000.0	W	270	6.173333333333334	6.173333333333334
EBDT	Schaffen		Belgium	30.0	51.0	5.067	Tue Apr 06 06:21:00 PDT 2004	7.0	2.0	70	BEYOND	10000.0	WSW	250	5.144444444444445	5.144444444444445
EBOS	Oostende Airport		Belgium	4.0	51.2	2.867	Tue Apr 06 06:50:00 PDT 2004	9.0	3.0	66	BEYOND	10000.0	W	280	7.202222222222223	7.202222222222223
EBBR	Bruxelles National		Belgium	55.0	50.9	4.533	Tue Apr 06 06:50:00 PDT 2004	8.0	3.0	70	BEYOND	10000.0	NW	320	5.658888888888889	5.658888888888889
MZBZ	Belize / Phillip Goldston Intl. Airport		Belize	5.0	17.533	-88.3	Tue Apr 06 07:00:00 PDT 2004	28.0	24.0	78	BEYOND	10000.0	ESE	120	5.144444444444445	5.144444444444445
DBBB	Cotonou		Benin	5.0	6.35	2.383	Tue Apr 06 08:00:00 PDT 2004	31.0	27.0	79	BEYOND	10000.0	SW	220	4.630000000000001	4.630000000000001
TXKF	Bermuda		Bermuda	6.0	32.367	-64.683	Tue Apr 06 07:55:00 PDT 2004	17.0	5.0	45	BEYOND	10000.0	WNW	290	12.346666666666668	20.063333333333336
SLYA	Yacuiba		Bolivia	645.0	-21.95	-63.65	Tue Apr 06 08:00:00 PDT 2004	29.0	25.0	79	BEYOND	10000.0	N	0	2.5722222222222224	2.5722222222222224
SLCB	Cochabamba		Bolivia	2548.0	-17.417	-66.183	Tue Apr 06 06:00:00 PDT 2004	21.0	14.0	64	BEYOND	10000.0	N	0	0.0	0.0
SLLP	La Paz / Alto		Bolivia	4058.0	-16.517	-68.183	Tue Apr 06 07:00:00 PDT 2004	11.0	3.0	57	BEYOND	10000.0	N	359	1.028888888888889	1.028888888888889
SLCP	Concepcion		Bolivia	497.0	-16.15	-62.017	Tue Apr 06 08:00:00 PDT 2004	29.0	22.0	65	BEYOND	10000.0	N	0	6.173333333333334	6.173333333333334
SLSU	Sucre		Bolivia	2904.0	-19.017	-65.3	Tue Apr 06 08:00:00 PDT 2004	21.0	11.0	52	BEYOND	10000.0	N	0	0.0	0.0
SLMG	Magdalena		Bolivia	140.0	-13.333	-64.117	Tue Apr 06 08:00:00 PDT 2004	30.0	24.0	70	BEYOND	10000.0	NW	320	5.144444444444445	5.144444444444445
SLJE	San Jose De Chiquitos		Bolivia	284.0	-17.8	-60.733	Tue Apr 06 08:00:00 PDT 2004	32.0	22.0	55	BEYOND	10000.0	NNW	330	5.144444444444445	5.144444444444445
SLCO	Cobija		Bolivia	235.0	-11.033	-68.783	Tue Apr 06 08:00:00 PDT 2004	28.0	25.0	83	BEYOND	10000.0	NNW	330	2.5722222222222224	2.5722222222222224
